Total encounters: 340
Encounters with combat options: 4
Total enemies: 363
Total maps: 269
Maps with encounters: 269/269

=== All encounter IDs and their map_ids ===
rand_magic_beast                         | map=map_magic_mountains            | weight= 45 [COMBAT]
rand_find_herb                           | map=map_magic_mountains            | weight= 35
rand_desert_map                          | map=map_tager                      | weight= 20
rand_canaan_training                     | map=map_canaan                     | weight= 50
rand_black_corner_ambush                 | map=map_black_corner               | weight= 40 [COMBAT]
rand_zhongzhou_ruins                     | map=map_zhongzhou                  | weight= 15
rand_explore_wutan                       | map=map_wutan                      | weight=100
rand_explore_yunlan                      | map=map_yunlan                     | weight=100
rand_explore_jia_ma                      | map=map_jia_ma                     | weight=100
rand_explore_jia_ma_capital              | map=map_jia_ma_capital             | weight=100
rand_explore_qingshan                    | map=map_qingshan                   | weight=100
rand_explore_miteer_auction              | map=map_miteer_auction             | weight=100
rand_explore_alchemist_guild             | map=map_alchemist_guild            | weight=100
rand_explore_canaan_inner                | map=map_canaan_inner               | weight=100
rand_explore_skyfire_tower               | map=map_skyfire_tower              | weight=100
rand_explore_feng_city                   | map=map_feng_city                  | weight=100
rand_explore_star_pavilion               | map=map_star_pavilion              | weight=100
rand_explore_star_realm                  | map=map_star_realm                 | weight=100
rand_explore_dan_region                  | map=map_dan_region                 | weight=100
rand_explore_sacred_dan_city             | map=map_sacred_dan_city            | weight=100
rand_explore_ancient_realm               | map=map_ancient_realm              | weight=100
rand_explore_heaven_tomb                 | map=map_heaven_tomb                | weight=100
rand_explore_dragon_island               | map=map_dragon_island              | weight=100
rand_explore_beast_region                | map=map_beast_region               | weight=100
rand_explore_wilderness                  | map=map_wilderness                 | weight=100
rand_explore_ancient_ruins               | map=map_ancient_ruins              | weight=100
rand_explore_demon_flame_space           | map=map_demon_flame_space          | weight=100
rand_explore_soul_realm                  | map=map_soul_realm                 | weight=100
rand_explore_yao_realm                   | map=map_yao_realm                  | weight=100
rand_explore_emperor_cave                | map=map_emperor_cave               | weight=100
rand_explore_soul_mountains              | map=map_soul_mountains             | weight=100
rand_explore_double_emperor              | map=map_double_emperor             | weight=100
rand_explore_bodhi_tree                  | map=map_bodhi_tree                 | weight=100
rand_explore_ancient_sacred_city         | map=map_ancient_sacred_city        | weight=100
rand_explore_peace_town                  | map=map_peace_town                 | weight=100
rand_explore_black_emperor_city          | map=map_black_emperor_city         | weight=100
rand_explore_space_trade_fair            | map=map_space_trade_fair           | weight=100
